,website_name,text
0,amazon,Oh and I forgot to also mention the weird color effect it has on your phone.
4,amazon,None of the three sizes they sent with the headset would stay in my ears.
22,amazon,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.
23,amazon,We have tried 2 units and they both failed within 2 months.. Pros
24,amazon,Also difficult to put on.I'd recommend avoiding this product.
27,amazon,Can't store anything but phone numbers to SIM.
35,amazon,In my house I was getting dropped coverage upstairs and no coverage in my basement.
39,amazon,"This is a simple little phone to use, but the breakage is unacceptible."
41,amazon,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.
42,amazon,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.
43,amazon,This is the first phone I've had that has been so cheaply made.
46,amazon,"If you are looking for a nice quality Motorola Headset keep looking, this isn't it."
47,amazon,"My father has the V265, and the battery is dying."
53,amazon,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The nice"
54,amazon,Excellent starter wireless headset.
61,amazon,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.
69,amazon,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.
72,amazon,"At first I thought I was grtting a nice deal at $7.44, until I plugged it into my phone (V3c Razr)."
76,amazon,doesn't last long.
79,amazon,Think it over when you plan to own this one!This sure is the last MOTO phone for me!
83,amazon,"Att is not clear, sound is very distorted and you have to yell when you talk."
85,amazon,It doesn't make you look cool.
87,amazon,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while."
91,amazon,Unreliable - I'm giving up.
95,amazon,Due to this happening on every call I was forced to stop using this headset.
108,amazon,Buyer--Be Very Careful!!!!!.
120,amazon,Everything about this product is wrong.First
122,amazon,After receiving and using the product for just 2 days it broke.
123,amazon,Phone falls out easily.
127,amazon,The BT headset was such a disapoinment.
128,amazon,"I have had this phone for over a year now, and I will tell you, its not that great."
155,amazon,The commercials are the most misleading.
156,amazon,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack."
158,amazon,It makes very strange ticking noises before it ends the call.
167,amazon,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop."
168,amazon,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution."
169,amazon,The screen does get smudged easily because it touches your ear and face.
183,amazon,You also cannot take pictures with it in the case because the lense is covered.
188,amazon,Echo Problem....Very unsatisfactory
192,amazon,This is infuriating.
193,amazon,"The loudspeaker option is great, the bumpers with the lights is very ... appealing."
194,amazon,It clicks into place in a way that makes you wonder how long that mechanism would last.
198,amazon,You have to hold the phone at a particular angle for the other party to hear you clearly.
204,amazon,If you plan to use this in a car forget about it.
205,amazon,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything."
207,amazon,"The internet access was fine, it the rare instance that it worked."
209,amazon,wont work right or atleast for me.
212,amazon,I've missed numerous calls because of this reason.
218,amazon,Kind of flops around.
219,amazon,The pleather case doesn't fit.
228,amazon,Very Dissapointing Performance.
230,amazon,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple."
232,amazon,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem."
234,amazon,Who in their right mind is gonna buy this battery?.
238,amazon,They made this case too small and is very difficult to install.
412,amazon,Plan on ordering from them again and again.
422,amazon,Plantronics Bluetooth Excelent Buy.
423,amazon,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced."
428,amazon,Gets a signal when other Verizon phones won't.
440,amazon,The battery is working well as a replacement for the original that came with the phone over 2 years ago.
455,amazon,I ended up sliding it on the edge of my pants or back pockets instead.
466,amazon,It does everything the description said it would.
477,amazon,Virgin Wireless rocks and so does this cheap little phone!
